[DBG-MEM]: n allocs: 1442, alloc size: 14045, non used memory by user: 1113816, non used memory by user percetnage: 1.505357, elapsed time: 0.004000, freeded chunks percentage: 13.452381, non freeded chunks percetnage: 86.547619
[DBG-MEM]: n allocs: 1129, alloc size: 11156, non used memory by user: 834320, non used memory by user percetnage: 1.165216, elapsed time: 0.004003, freeded chunks percentage: 19.444444, non freeded chunks percetnage: 80.555556
[DBG-MEM]: n allocs: 1362, alloc size: 19602, non used memory by user: 1107152, non used memory by user percetnage: 1.467749, elapsed time: 0.003998, freeded chunks percentage: 9.973046, non freeded chunks percetnage: 90.026954
[DBG-MEM]: n allocs: 1617, alloc size: 18813, non used memory by user: 1291032, non used memory by user percetnage: 1.684445, elapsed time: 0.008000, freeded chunks percentage: 11.159263, non freeded chunks percetnage: 88.840737
[DBG-MEM]: n allocs: 1278, alloc size: 11523, non used memory by user: 877568, non used memory by user percetnage: 1.213331, elapsed time: 0.004000, freeded chunks percentage: 14.933333, non freeded chunks percetnage: 85.066667
[DBG-MEM]: n allocs: 1492, alloc size: 15591, non used memory by user: 1175520, non used memory by user percetnage: 1.573335, elapsed time: 0.004001, freeded chunks percentage: 12.076749, non freeded chunks percetnage: 87.923251
[DBG-MEM]: n allocs: 1658, alloc size: 16070, non used memory by user: 1247104, non used memory by user percetnage: 1.655081, elapsed time: 0.007999, freeded chunks percentage: 12.141280, non freeded chunks percetnage: 87.858720
[DBG-MEM]: n allocs: 1573, alloc size: 13220, non used memory by user: 1167024, non used memory by user percetnage: 1.574132, elapsed time: 0.004001, freeded chunks percentage: 13.986784, non freeded chunks percetnage: 86.013216
[DBG-MEM]: n allocs: 1025, alloc size: 16526, non used memory by user: 774240, non used memory by user percetnage: 1.065641, elapsed time: 0.004001, freeded chunks percentage: 12.321429, non freeded chunks percetnage: 87.678571
[DBG-MEM]: n allocs: 1276, alloc size: 18716, non used memory by user: 1007120, non used memory by user percetnage: 1.351428, elapsed time: 0.004000, freeded chunks percentage: 12.535613, non freeded chunks percetnage: 87.464387
[DBG-MEM]: n allocs: 1394, alloc size: 16831, non used memory by user: 1110056, non used memory by user percetnage: 1.488574, elapsed time: 0.004000, freeded chunks percentage: 13.416149, non freeded chunks percetnage: 86.583851
[DBG-MEM]: n allocs: 1149, alloc size: 19887, non used memory by user: 952952, non used memory by user percetnage: 1.277127, elapsed time: 0.004001, freeded chunks percentage: 10.350076, non freeded chunks percetnage: 89.649924
[DBG-MEM]: n allocs: 1301, alloc size: 16486, non used memory by user: 949896, non used memory by user percetnage: 1.285950, elapsed time: 0.004004, freeded chunks percentage: 14.075067, non freeded chunks percetnage: 85.924933
